urdb_rate_id,urdb_rate_id_new
53fb5ab35257a335346c0e62,53fb5ab35257a335346c0e62
53fb58cc5257a334346c0e60,53fb58cc5257a334346c0e60
53fb55435257a335346c0e61,53fb55435257a335346c0e61
5c8180717bece2299eceb3cc,6753561ca7d2ac0ef60003c1
5ed6c1a15457a3367add15ae,675350b394d97f080e04dbe0
5c8180397bece2299eceb3ba,5c8180397bece2299eceb3ba
5bc7ba425457a3b5483b43ed,5bc7ba425457a3b5483b43ed
56b92c325457a3890348d233,56b92c325457a3890348d233
5e0fd85a5457a3c949fa5c5d,5e0fd85a5457a3c949fa5c5d
59c05cde5457a30837bbb280,59c05cde5457a30837bbb280
5c81809d7bece2299eceb3da,5c81809d7bece2299eceb3da
5c8026b35457a3193c4b0dbb,5c8026b35457a3193c4b0dbb
56bbc4215457a391068b4567,56bbc4215457a391068b4567
5c8180e77bece2299eceb3ef,66d094b853fce9ed17096f5e
5e0fd72e5457a3be65fa5c5d,5e0fd72e5457a3be65fa5c5d
59c059345457a3b066bbb282,59c059345457a3b066bbb282
5ed6b7765457a3a605dd15ac,674f726eee1ae368ed02c31a
56b927935457a3030348d235,56b927935457a3030348d235
5dbb45425457a30443dc72bb,66d1f3999a60806216040745
5c8180f27bece2299eceb3f2,66d08701f6172d040c0ea5ce
5bc7bc025457a32d493b43ed,5bc7bc025457a32d493b43ed
5ed6b8535457a3357add15ab,675078f6cb87bf5ac20350be
56b29a2b5457a3654fc2db59,56b29a2b5457a3654fc2db59
5ed6917e5457a3a805dd15ad,674f800fcb87bf5ac20350b2
5c8180847bece2299eceb3d2,67531e6a1601d496ec0156b8
5c8180e37bece2299eceb3ee,66d094ad53fce9ed17096f5d
5c8180b77bece2299eceb3e2,66d09bd8f6172d040c0ea5cf
5c81802f7bece2299eceb3b9,674f36c0d1b9875c3d07cd2a
5c8180a37bece2299eceb3dc,66d1e7cdf79fbb175f018461
56b928505457a3502c48d234,56b928505457a3502c48d234
59c0608e5457a3c813bbb282,59c0608e5457a3c813bbb282
5c8180647bece2299eceb3c7,67535631c8947b02cd012d4f
56b923655457a3d41f48d233,56b923655457a3d41f48d233
5c8180677bece2299eceb3c8,67535605f85ef1eed60bd84f
5c81806e7bece2299eceb3cb,67535623a7d2ac0ef60003c2
5cdb9ca35457a3b62b40c5d3,5cdb9ca35457a3b62b40c5d3
5c8180ac7bece2299eceb3df,66d1e7529a60806216040742
5c8180c97bece2299eceb3e7,66d1f3a5d4e4f22b6b0446bd
5b5efe935457a39e79409a7c,5b5efe935457a39e79409a7c
5c8180817bece2299eceb3d1,675350b9043c8610d60b0fe8
5b5946fb5457a39e3b26b8f8,5b5946fb5457a39e3b26b8f8
5ed6b7c55457a3a805dd15b0,674f8a71ccc90ff8a0010aba
59c0616d5457a3d348bbb27c,59c0616d5457a3d348bbb27c
5bc7c3045457a3ee6b3b43f0,5bc7c3045457a3ee6b3b43f0
5c8180c37bece2299eceb3e5,66d1f3b0d4e4f22b6b0446bf
5c8180237bece2299eceb3b6,62e0275f4ae16462f52d7160
5c8180567bece2299eceb3c2,5c8180567bece2299eceb3c2
5ed9535f5457a3a905dd15ae,6758af53351b8aafcb0edecc
56b9228a5457a3030348d234,56b9228a5457a3030348d234
5e1630285457a3d35f73e3af,6758b27bd731a5d4d806802e
5c8180697bece2299eceb3c9,6753562ac8947b02cd012d4e
5c81802b7bece2299eceb3b8,62e0247814ffd117401a18d5
5e1686f35457a3f87673e3b2,6758cc765a6b3fa2c200d400
5ed6b9095457a3a605dd15ad,675099aeeac17d3225091399
5c8180797bece2299eceb3ce,6753212e7850a3ccad055aaf
5ed673c65457a3367add15ab,674f36b9673ef28d960361a8
5ed6c2c15457a3076bdd15ab,67535613a7d2ac0ef60003c0
5c8180db7bece2299eceb3ec,66d0949c847c0f93fa0dce7f
56bbc5cc5457a34d2a8b4567,56bbc5cc5457a34d2a8b4567
5c8180c67bece2299eceb3e6,66d1f3aad4e4f22b6b0446be
5c8180477bece2299eceb3be,675099b5d14cc47b5e0a06c1
5c8180d47bece2299eceb3ea,66d1f3907e3589017b0ce772
5c8180267bece2299eceb3b7,674f6d2452205216e80c25e9
5cef09e25457a3f767f60fe4,6758af59c5babc88b40fe41c
5bc7bf095457a3b5483b43ef,5bc7bf095457a3b5483b43ef
5c8180987bece2299eceb3d9,5c8180987bece2299eceb3d9
5c8180bc7bece2299eceb3e3,66d1f3c0615878105a0f6a4b
5c8180757bece2299eceb3cd,675350e0043c8610d60b0fe9
5ed6752b5457a3387add15aa,674f6d1f52205216e80c25e8
56bbc7485457a34b2e8b4567,56bbc7485457a34b2e8b4567
5405c21b5257a32f22af34b3,5405c21b5257a32f22af34b3
5433fa695257a3b3685d60b1,5433fa695257a3b3685d60b1
5433fd405257a395665d60b2,5433fd405257a395665d60b2
53fce22f5257a37f4ddbd602,53fce22f5257a37f4ddbd602
539fc100ec4f024c27d8a22d,539fc100ec4f024c27d8a22d
539fc3c4ec4f024c27d8bf67,539fc3c4ec4f024c27d8bf67
539fc9feec4f024d2f53f6e8,539fc9feec4f024d2f53f6e8
539f6aadec4f024411ec9329,539f6aadec4f024411ec9329
5a0334ed5457a30205be362c,5a0334ed5457a30205be362c
53e13fd95257a3d57c2871e2,53e13fd95257a3d57c2871e2
539fc412ec4f024c27d8c32d,539fc412ec4f024c27d8c32d
5a0336225457a3c709be362d,5a0336225457a3c709be362d
5a0335e45457a3a90dbe362c,5a0335e45457a3a90dbe362c
539fc369ec4f024c27d8bb9b,539fc369ec4f024c27d8bb9b
5a0333985457a3c709be362c,5a0333985457a3c709be362c
539fc344ec4f024c27d8ba67,539fc344ec4f024c27d8ba67
539fc284ec4f024c27d8b255,539fc284ec4f024c27d8b255
5a0222e15457a3a873be362c,5a0222e15457a3a873be362c
5a02262a5457a34b64be362c,5a02262a5457a34b64be362c
5a0224d35457a39157be362c,5a0224d35457a39157be362c
5ed987ec5457a3487edd15ae,6758702ed171911a480dc81c
5e167d8d5457a3d50873e3b1,6758c48ec5babc88b40fe420
5e17b77e5457a33c5873e3b0,6758c7ced171911a480dc822
5e0b96025457a3f707fa5c62,6758704fd171911a480dc81f
5e0b93695457a39434fa5c5f,6758979bc51426c5b80fdaea
