urdb_rate_id,urdb_rate_id_new
5592a9ba5457a39c3dce8270,5592a9ba5457a39c3dce8270
55157f495357a3fa5c84f75b,55157f495357a3fa5c84f75b
539fbf90ec4f024c27d8930d,539fbf90ec4f024c27d8930d
539f6f88ec4f024411eccfad,539f6f88ec4f024411eccfad
539fc851ec4f024d2f53e542,539fc851ec4f024d2f53e542
5bbe459c5457a32e16135b51,5bbe459c5457a32e16135b51
5bbb77a55457a3e25c135b4d,5bbe459c5457a32e16135b51
5d44541e5457a33514dc8c3b,67940c19464e4988d30cb888
5d4affc15457a3943addb2db,5d4affc15457a3943addb2db
5d446af35457a3053bdc8c3b,679bf7255390a2f9480c6769
