state_abbr,sector_abbr,tech,incentive_type,min_kw,max_kw,pbi_usd_p_kwh,min_incentive_usd,max_incentive_usd,cbi_usd_p_w,ibi_pct,budget_annual_usd,budget_total_usd,incentive_cap_annual_mw,incentive_cap_total_mw,incentive_duration_yrs,start_date,end_date,cbi_usd_p_wh,max_incentive_pct,min_incentive_pct,min_kwh,max_kwh
AZ,res,solar,ITC,,,,,1000,,0.25,,,,,,1/1/1995,,,,,,
DC,com,solar,SREC,,5000,0.4,,,,,,,,,3,1/1/2024,12/31/2028,,,,,
DC,com,solar,SREC,,5000,0.3,,,,,,,,,3,1/1/2029,12/31/2041,,,,,
DC,com,solar,SREC,,5000,0.3,,,,,,,,,3,1/1/2042,,,,,,
DC,ind,solar,SREC,,5000,0.4,,,,,,,,,3,1/1/2024,12/31/2028,,,,,
DC,ind,solar,SREC,,5000,0.3,,,,,,,,,3,1/1/2029,12/31/2041,,,,,
DC,ind,solar,SREC,,5000,0.3,,,,,,,,,3,1/1/2042,,,,,,
DC,res,solar,SREC,,5000,0.4,,,,,,,,,3,1/1/2024,12/31/2028,,,,,
DC,res,solar,SREC,,5000,0.3,,,,,,,,,3,1/1/2029,12/31/2041,,,,,
DC,res,solar,SREC,,5000,0.3,,,,,,,,,3,1/1/2042,,,,,,
HI,com,solar,ITC,,5000,,,500000,,0.35,,,,,,7/1/2009,,,,,,
HI,res,solar,ITC,,5000,,,5000,,0.35,,,,,,7/1/2009,,,,,,
MA,res,solar,ITC,,,,,1000,,0.15,,,,,,1/26/1979,,,,,,
MD,com,solar,SREC,,,0.05,,,,,,,,,3,1/1/2012,,,,,,
MD,ind,solar,SREC,,,0.05,,,,,,,,,3,1/1/2012,,,,,,
MD,res,solar,SREC,,,0.05,,,,,,,,,3,1/1/2012,,,,,,
NJ,com,solar,SREC,,999,0.11,,,,,,,,150,15,8/28/2021,,,,,,
NJ,com,solar,SREC,1000,5000,0.1,,,,,,,,150,15,8/28/2021,,,,,,
NJ,ind,solar,SREC,,999,0.11,,,,,,,,150,15,8/28/2021,,,,,,
NJ,ind,solar,SREC,1000,5000,0.1,,,,,,,,150,15,8/28/2021,,,,,,
NJ,res,solar,SREC,,,0.085,,,,,,,,250,15,8/28/2021,,,,,,
NM,com,solar,ITC,0.1,,,,6000,,0.1,30000000,,,,,3/1/2020,1/1/2032,,,,,
NM,ind,solar,ITC,0.1,,,,6000,,0.1,30000000,,,,,3/1/2020,1/1/2032,,,,,
NM,res,solar,ITC,0.1,,,,6000,,0.1,30000000,,,,,3/1/2020,1/1/2032,,,,,
NY,res,solar,ITC,,50,,,5000,,0.25,,,,,,1/1/1998,,,,,,
PA,com,solar,SREC,,,0.03,,,,,,,,,,1/1/2012,,,,,,
PA,ind,solar,SREC,,,0.03,,,,,,,,,,1/1/2012,,,,,,
PA,res,solar,SREC,,,0.03,,,,,,,,,,1/1/2012,,,,,,
RI,com,solar,Grant,,9,,,5000,0.65,,,,,,,1/1/2013,,,,,,
RI,com,solar,Grant,10,50,,,,0.7,,,,,,,1/1/2013,,,,,,
RI,com,solar,Grant,51,100,,,,0.4,,,,,,,1/1/2013,,,,,,
RI,com,solar,Grant,101,150,,,,0.3,,,,,,,1/1/2013,,,,,,
RI,com,solar,Grant,151,175,,,,0.2,,,,,,,1/1/2013,,,,,,
