ba,year,elec_price_res,elec_price_com,elec_price_ind,elec_price_trans,nerc_region_abbr,scenario
p1,2014,0.17320086,0.15678893,0.12172961,0.14977968,NWPP,AEO2025 High Economic Growth
p1,2015,0.17320086,0.15678893,0.12172961,0.14977968,NWPP,AEO2025 High Economic Growth
p1,2016,0.17320086,0.15678893,0.12172961,0.14977968,NWPP,AEO2025 High Economic Growth
p1,2017,0.17320086,0.15678893,0.12172961,0.14977968,NWPP,AEO2025 High Economic Growth
p1,2018,0.17320086,0.15678893,0.12172961,0.14977968,NWPP,AEO2025 High Economic Growth
p1,2019,0.17320086,0.15678893,0.12172961,0.14977968,NWPP,AEO2025 High Economic Growth
p1,2020,0.17320086,0.15678893,0.12172961,0.14977968,NWPP,AEO2025 High Economic Growth
p1,2021,0.17320086,0.15678893,0.12172961,0.14977968,NWPP,AEO2025 High Economic Growth
p1,2022,0.17320086,0.15678893,0.12172961,0.14977968,NWPP,AEO2025 High Economic Growth
p1,2023,0.17320086,0.15678893,0.12172961,0.14977968,NWPP,AEO2025 High Economic Growth
p1,2024,0.17320086,0.15678893,0.12172961,0.14977968,NWPP,AEO2025 High Economic Growth
p1,2025,0.16899891,0.14971363999999998,0.11545305,0.1440546,NWPP,AEO2025 High Economic Growth
p1,2026,0.12995736000000002,0.10872432,0.07443244,0.10451015,NWPP,AEO2025 High Economic Growth
p1,2027,0.11353573,0.09247286,0.06389795000000001,0.08704976,NWPP,AEO2025 High Economic Growth
p1,2028,0.11192785000000001,0.09029762,0.06161851,0.0847283,NWPP,AEO2025 High Economic Growth
p1,2029,0.11325547,0.09063361,0.06229992,0.085009,NWPP,AEO2025 High Economic Growth
p1,2030,0.11640632999999999,0.09269591,0.06420634,0.08703053000000001,NWPP,AEO2025 High Economic Growth
p1,2031,0.12065198,0.09566573,0.06679114,0.08979228,NWPP,AEO2025 High Economic Growth
p1,2032,0.12522872,0.09882541,0.06986526,0.09300778,NWPP,AEO2025 High Economic Growth
p1,2033,0.12856287,0.10041935,0.07139732,0.09478835000000001,NWPP,AEO2025 High Economic Growth
p1,2034,0.13255406,0.10273298,0.07366456,0.09711865,NWPP,AEO2025 High Economic Growth
p1,2035,0.13555202,0.10361102999999999,0.07411264000000001,0.09785287999999999,NWPP,AEO2025 High Economic Growth
p1,2036,0.13804473,0.10443789,0.07493514,0.09870293999999999,NWPP,AEO2025 High Economic Growth
p1,2037,0.14208444,0.10700068,0.07706389,0.10118252,NWPP,AEO2025 High Economic Growth
p1,2038,0.14575506000000002,0.10945946,0.07891304,0.10370267,NWPP,AEO2025 High Economic Growth
p1,2039,0.15036637,0.11258919,0.08159383999999999,0.10680216,NWPP,AEO2025 High Economic Growth
